first_year_payment,yearly_payments,down_payment,adjusted_price,lat,lon,price,usage,style
130191,31396,98795,493975,42.258382,-71.159455,287500,1-FAM RES,COLONIAL
123518,17541,105977,326762,42.338462,-71.152457,185000,CONDOMINIUM,LOW-RISE
320732,77347,243385,1216925,42.362099,-71.050169,899000,CONDOMINIUM,MID-RISE
279182,67327,211855,1059275,42.281325,-71.092649,580000,WAREHOUSE,CONDO/APT
4103521,262306,3841215,7142756,42.354791,-71.072323,4867787,CONDOMINIUM,MID-RISE
862374,16604,845770,1054763,42.351787,-71.067367,807500,CONDOMINIUM,HIGH-RISE
301772,33544,268228,690437,42.356178,-71.137586,556000,1-FAM RES,CONVENTIONAL
80901,19510,61391,306958,42.280399,-71.097058,235000,2-FAM RES,TWO FAMILY
96394,23246,73148,365738,42.324641,-71.095486,280000,3-FAM RES,DECKER
236953,57143,179810,899047,42.292091,-71.071787,700000,4-8 UNIT APT,CONDO/APT
1214262,292830,921432,4607159,42.35337,-71.062515,3475000,CONDOMINIUM,HIGH-RISE
314827,75923,238904,1194520,42.35337,-71.062515,845000,CONDOMINIUM,HIGH-RISE
405870,97879,307991,1539952,42.35337,-71.062515,1085000,CONDOMINIUM,HIGH-RISE
84626,20408,64218,321088,42.295308,-71.082405,250000,1-FAM RES,COLONIAL
469981,113340,356641,1783202,42.351787,-71.067367,1345000,CONDOMINIUM,HIGH-RISE
561516,135414,426102,2130510,42.351787,-71.067367,1895000,CONDOMINIUM,HIGH-RISE
367339,88587,278752,1393758,42.351787,-71.067367,1170000,CONDOMINIUM,HIGH-RISE
633300,152726,480574,2402870,42.351787,-71.067367,1935000,CONDOMINIUM,HIGH-RISE
1678287,404734,1273553,6367764,42.351787,-71.067367,4875000,CONDOMINIUM,HIGH-RISE
519191,125207,393984,1969919,42.351787,-71.067367,1342500,CONDOMINIUM,HIGH-RISE
419199,101093,318106,1590530,42.351787,-71.067367,1175000,CONDOMINIUM,HIGH-RISE
1093300,263659,829641,4148203,42.351787,-71.067367,2750000,CONDOMINIUM,HIGH-RISE
387834,93529,294305,1471525,42.351787,-71.067367,1185000,CONDOMINIUM,HIGH-RISE
15698,3785,11913,59562,42.294399,-71.152088,50000,1-FAM RES,COLONIAL
1631047,393341,1237706,6188526,42.345267,-71.084125,5195000,CONDOMINIUM,HIGH-RISE
1989796,382983,1606813,6427251,42.345267,-71.084125,5300000,CONDOMINIUM,HIGH-RISE
2013582,485593,1527989,7639941,42.345267,-71.084125,6300000,CONDOMINIUM,HIGH-RISE
3416513,823923,2592590,12962948,42.345267,-71.084125,11530000,CONDOMINIUM,HIGH-RISE
3335875,804476,2531399,12656995,42.345267,-71.084125,10625000,CONDOMINIUM,HIGH-RISE
2904175,700368,2203807,11019031,42.345267,-71.084125,9250000,CONDOMINIUM,HIGH-RISE
4238524,1022158,3216366,16081829,42.345267,-71.084125,13500000,CONDOMINIUM,HIGH-RISE
1956235,501009,1455226,7761209,42.345267,-71.084125,6400000,CONDOMINIUM,HIGH-RISE
1956235,501009,1455226,7761209,42.345267,-71.084125,6400000,CONDOMINIUM,HIGH-RISE
1997601,481739,1515862,7579306,42.345267,-71.084125,6250000,CONDOMINIUM,HIGH-RISE
2077505,501009,1576496,7882478,42.348853,-71.074296,6500000,CONDOMINIUM,HIGH-RISE
5048919,283932,4764987,8338726,42.345267,-71.084125,7000000,CONDOMINIUM,HIGH-RISE
11365206,757154,10608052,20138024,42.345267,-71.084125,16905000,CONDOMINIUM,HIGH-RISE
10674803,2574326,8100477,40502384,42.345267,-71.084125,34000000,CONDOMINIUM,HIGH-RISE
145316,35044,110272,551356,42.280424,-71.166574,444000,1-FAM RES,CAPE COD
188057,45351,142706,713530,42.318763,-71.099068,555556,4-8 UNIT APT,CONDO/APT
1569824,378577,1191247,5956233,42.352014,-71.083471,5000000,3-FAM RES,ROW-END
156724,37795,118929,594644,42.365432,-71.052907,405250,CONDOMINIUM,MID-RISE
156724,37795,118929,594644,42.365432,-71.052907,405250,CONDOMINIUM,MID-RISE
223636,53931,169705,848521,42.325638,-71.07782,660000,3-FAM RES,ROW-END
1457687,280566,1177121,4708484,42.356057,-71.059157,4000000,CONDOMINIUM,HIGH-RISE
2133437,514497,1618940,8094699,42.356057,-71.059157,6675000,CONDOMINIUM,HIGH-RISE
265083,63927,201156,1005780,42.361064,-71.067029,770000,CONDOMINIUM,ROW-END
1502196,362268,1139928,5699638,42.349359,-71.076991,4700000,CONDOMINIUM,HIGH-RISE
568072,136995,431077,2155381,42.349359,-71.076991,1700000,CONDOMINIUM,HIGH-RISE
635924,153358,482566,2412828,42.358046,-71.068377,1700000,CONDOMINIUM,ROW-END
101653,24514,77139,385691,42.307877,-71.086595,300000,2-FAM RES,CONVENTIONAL
690928,108054,582874,1942912,42.352044,-71.082059,1100000,CONDOMINIUM,ROW-MIDDLE
869135,209599,659536,3297678,42.375326,-71.060356,1950000,OTHER EXEMPT,ROW-END
376757,90858,285899,1429495,42.386134,-71.076518,1200000,MXU COM+RES,RAISED CAPE
376757,90858,285899,1429495,42.386127,-71.076509,1200000,1-FAM RES,SEMI DETACHD
