full_address,lon,lat,transfer_tax,property_tax,property_tax_list

"28 Meshaka St, Boston, 2132",-71.159455,42.258382,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"

"9 Braemore Rd #4, Boston, 2135",-71.152457,42.338462,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"

"48 Commercial Wharf #48, Boston, 2110",-71.050169,42.362099,0,119247.41999999998,"[3990.0, 3990.0, 3990.0, 3990.0, 3990.0, 3990.0, 3990.0, 3990.0, 3990.0, 3990.0, 3990.0, 3990.0, 3990.0, 4178.78, 4316.47, 4465.53, 4475.0, 4598.17, 4799.7300000000005, 5069.86, 5431.12, 5676.28, 6648.0599999999995, 8379.92, 9338.5]"

"1301 Blue Hill Ave, Boston, 2126",-71.092649,42.281325,0,19957.29,"[3998.86, 4421.81, 5351.12, 6185.5]"

"6 Arlington St #9, Boston, 2116",-71.072323,42.354791,283770,4063207.1999999993,"[139711.47999999998, 139711.47999999998, 139711.47999999998, 139711.47999999998, 139711.47999999998, 139711.47999999998, 139711.47999999998, 139711.47999999998, 139711.47999999998, 147110.47999999998, 146302.04, 149522.88, 156067.64, 160500.04, 163732.56, 167232.28, 167454.48, 170346.4, 175078.68, 180600.56, 184841.36000000002, 187719.48, 199127.28, 219457.48, 230710.24]"

"1 Charles St S #902, Boston, 2116",-71.067367,42.351787,0,74308.48999999999,"[3075.0, 3075.0, 3075.0, 3075.0, 3075.0, 3075.0, 3075.0, 3075.0, 3075.0, 3075.0, 3075.0, 3204.2000000000003, 3212.4, 3319.16, 3493.86, 3697.7200000000003, 3854.27, 3960.53, 4381.67, 5264.42, 6095.26]"

"193 Florence St #3R, Boston, 2131",-71.121306,42.287028,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"

"32 Blaine St, Boston, 2134",-71.137586,42.356178,0,17672.79,"[560.0, 560.0, 560.0, 560.0, 560.0, 560.0, 560.0, 560.0, 560.0, 560.0, 560.0, 560.0, 560.0, 560.0, 560.0, 560.0, 560.0, 560.0, 560.0, 693.44, 795.9200000000001, 865.47, 1141.15, 1632.44, 1904.3700000000001]"

"620 Walk Hill St, Boston, 2126",-71.097058,42.280399,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"

"47 Beech Glen St, Boston, 2119",-71.095486,42.324641,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"

"1 Aspinwall Rd, Boston, 2124",-71.071787,42.292091,0,56552.85,"[2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 2090.9900000000002, 2239.91, 2413.66, 2547.11, 2637.68, 2996.65, 3636.38, 3990.4700000000003]"

"1 Avery St #31B, Boston, 2111",-71.062515,42.35337,164067,2281119.2,"[84000.0, 84000.0, 84000.0, 84000.0, 84000.0, 84000.0, 84000.0, 84000.0, 84000.0, 84000.0, 84000.0, 84000.0, 84000.0, 84000.0, 86084.95999999999, 88342.32, 88485.68, 90351.0, 93403.36, 96965.04000000001, 99700.44, 101556.84, 108915.0, 122028.2, 129286.36]"

"1 Avery St #10D, Boston, 2111",-71.062515,42.35337,0,109369.0,"[3450.0, 3450.0, 3450.0, 3450.0, 3450.0, 3450.0, 3450.0, 3450.0, 3450.0, 3450.0, 3416.2000000000003, 3550.85, 3824.48, 4009.8, 4144.9400000000005, 4291.26, 4300.55, 4421.46, 4619.31, 4850.17, 5054.96, 5295.62, 6249.52, 7949.48, 8890.4]"

"1 Avery St #10B, Boston, 2111",-71.062515,42.35337,6032,217535.73999999996,"[6700.0, 6700.0, 6700.0, 6700.0, 6700.0, 6700.0, 6700.0, 6700.0, 6700.0, 6700.0, 6700.0, 7047.2, 7752.700000000001, 8230.5, 8578.96, 8956.220000000001, 8980.18, 9291.92, 9802.060000000001, 10397.3, 10854.46, 11164.720000000001, 12394.46, 14586.02, 15799.04]"

"201 Washington St, Boston, 2108",-71.057956,42.358182,33074869,327055780.32,"[10305000.0, 10305000.0, 10305000.0, 10470760.0, 10712852.48, 11003584.48, 11379576.36, 11745482.8, 12075896.32, 12536870.36, 12486502.88, 12687166.92, 13094916.280000001, 13371064.52, 13572455.48, 13790494.76, 13804340.280000001, 13984511.68, 14279341.44, 14623365.64, 14887576.24, 15066887.120000001, 15777615.84, 17044225.12, 17745293.32]"

"38 Nightingale St, Boston, 2124",-71.082405,42.295308,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"

"Alleghany St, Boston, 2119",-71.10488,42.333047,88314,1227676.5999999999,"[25000.0, 25000.0, 27240.0, 28555.84, 30477.6, 32785.520000000004, 35770.2, 38674.84, 41297.76, 44957.08, 44557.240000000005, 46150.16, 49386.96, 51579.08, 53177.76, 54908.600000000006, 55018.520000000004, 56448.76, 58789.2, 61520.12, 63617.48, 65040.92, 70682.84, 80737.44, 86302.68]"

"1610 Tremont St, Boston, 2120",-71.10302,42.333474,0,265669.02,"[5560.0, 5888.96, 6369.4, 6946.38, 7692.54, 8418.7, 9074.44, 9989.26, 9889.3, 10287.54, 11096.74, 11644.76, 12044.44, 12477.14, 12504.619999999999, 12862.18, 13447.3, 14130.02, 14654.36, 15010.22, 16420.7, 18934.36, 20325.66]"

"116 W 1st St, Boston, 2127",-71.051169,42.342342,4789001,28292809.800000004,"[2025000.0, 2025000.0, 2025000.0, 2025000.0, 2027079.96, 2054147.0, 2098439.12, 2150121.64, 2189813.84, 2216751.6, 2323523.92, 2513805.84, 2619126.88]"

"1 Charles St S #12H, Boston, 2116",-71.067367,42.351787,22870,284951.04,"[11900.0, 11900.0, 11900.0, 11900.0, 11900.0, 11900.0, 11900.0, 11900.0, 11900.0, 11900.0, 12303.48, 12740.34, 12768.08, 13129.08, 13719.78, 14409.06, 14938.42, 15297.68, 16721.68, 19259.4, 20664.04]"

"1 Charles St S #7B, Boston, 2116",-71.067367,42.351787,50311,492184.4,"[22900.0, 22900.0, 22900.0, 22900.0, 22900.0, 22900.0, 22900.0, 22900.0, 22900.0, 22900.0, 22900.0, 22900.0, 22900.0, 22900.0, 22900.0, 22900.0, 22900.0, 22900.0, 22900.0, 26864.0, 30220.4]"

"1 Charles St S #7A, Boston, 2116",-71.067367,42.351787,10125,185927.03999999998,"[8400.0, 8400.0, 8400.0, 8400.0, 8400.0, 8400.0, 8400.0, 8400.0, 8400.0, 8400.0, 8400.0, 8400.0, 8400.0, 8400.0, 8400.0, 8400.0, 8400.0, 8680.8, 9793.779999999999, 11777.3, 12875.16]"

"1 Charles St S #1606, Boston, 2116",-71.067367,42.351787,58053,541399.64,"[23700.0, 23700.0, 23700.0, 23700.0, 23700.0, 23700.0, 23700.0, 23700.0, 23700.0, 23700.0, 23700.0, 23700.0, 23700.0, 23700.0, 23700.0, 24628.8, 25684.2, 26652.44, 30490.08, 37329.32, 41114.8]"

"1 Charles St S #PH1B, Boston, 2116",-71.067367,42.351787,253077,3158633.6399999997,"[140000.0, 140000.0, 140000.0, 140000.0, 140000.0, 140000.0, 140000.0, 140000.0, 140000.0, 140000.0, 140000.0, 143120.0, 143318.08000000002, 145896.24, 150115.04, 155037.8, 158818.48, 161384.32, 171554.4, 189678.72, 199710.56]"

"1 Charles St S #7G, Boston, 2116",-71.067367,42.351787,25128,327508.72000000003,"[11850.0, 11850.0, 11850.0, 11850.0, 11850.0, 12870.3, 12758.8, 13202.94, 14105.44, 14716.66, 15162.4, 15645.0, 15675.66, 16074.44, 16727.0, 17488.440000000002, 18073.239999999998, 18470.120000000003, 20043.22, 22846.68, 24398.38]"

"1 Charles St S #PH1D, Boston, 2116",-71.067367,42.351787,11844,215685.84,"[8500.0, 8500.0, 8500.0, 8500.0, 8500.0, 8500.0, 8500.0, 8500.0, 8500.0, 8993.5, 9353.4, 9743.04, 9767.779999999999, 10089.779999999999, 10616.66, 11231.46, 11703.619999999999, 12024.060000000001, 13294.2, 15557.74, 16810.6]"

"1 Charles St S #PH1C, Boston, 2116",-71.067367,42.351787,131988,1538635.2400000002,"[55000.0, 55000.0, 55000.0, 55000.0, 58080.0, 62377.04, 61907.520000000004, 63778.04, 67578.92, 70153.08, 72030.4, 74062.88, 74191.92, 75871.44, 78619.72, 81826.6, 84289.48000000001, 85960.95999999999, 92586.12, 104393.0, 110928.12]"

"1 Charles St S #812, Boston, 2116",-71.067367,42.351787,11486,198355.6,"[8700.0, 8700.0, 8700.0, 8700.0, 8700.0, 8700.0, 8700.0, 8700.0, 8700.0, 8700.0, 8700.0, 8700.0, 8700.0, 8700.0, 8700.0, 9268.8, 9705.619999999999, 10002.1, 11177.2, 13271.380000000001, 14430.5]"

"651-653 Boylston St #1, Boston, 2116",-71.078197,42.349951,40995,493257.9600000001,"[16600.0, 16600.0, 16600.0, 16600.0, 16600.0, 16600.0, 16600.0, 16600.0, 16600.0, 16600.0, 16473.6, 16977.16, 18000.440000000002, 18693.440000000002, 19198.84, 19746.04, 19780.78, 20232.92, 20972.82, 21836.16, 22499.22, 22949.2, 24732.82, 30822.88, 34341.64]"

"1 Courtney Rd, Boston, 2132",-71.152088,42.294399,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"

"1 Dalton St #2701, Boston, 2199",-71.084125,42.345267,255671,1612603.5600000003,"[152800.0, 152800.0, 152800.0, 152800.0, 152800.0, 152800.0, 155293.6, 165177.36000000002, 182791.56, 192541.04]"

"1 Dalton St #3105, Boston, 2199",-71.084125,42.345267,269823,1676947.1600000001,"[157000.0, 157000.0, 157000.0, 157000.0, 157000.0, 160816.0, 163405.76, 173670.84, 191964.52, 202090.04]"

"1 Dalton St #3803, Boston, 2199",-71.084125,42.345267,360774,2097125.92,"[197000.0, 197000.0, 197000.0, 197000.0, 197000.0, 201536.0, 204614.4, 216816.28, 238561.6, 250597.64]"

"1 Dalton St #3901, Boston, 2199",-71.084125,42.345267,775472,4156213.92,"[406200.0, 406200.0, 406200.0, 406200.0, 406200.0, 406200.0, 406200.0, 406200.0, 443096.0, 463517.92]"

"1 Dalton St #4201, Boston, 2199",-71.084125,42.345267,740806,3873034.32,"[370000.0, 370000.0, 370000.0, 370000.0, 370000.0, 370000.0, 375100.0, 395314.68, 431339.84, 451279.8]"

"1 Dalton St #4502, Boston, 2199",-71.084125,42.345267,617959,3300641.6800000006,"[315000.0, 315000.0, 315000.0, 315000.0, 315000.0, 315000.0, 319440.0, 337038.68, 368401.76, 385761.24]"

"1 Dalton St #5601, Boston, 2199",-71.084125,42.345267,997669,5069855.4,"[485000.0, 485000.0, 485000.0, 485000.0, 485000.0, 485000.0, 491480.0, 517164.52, 562937.72, 588273.16]"

"1 Dalton St #2604, Boston, 2199",-71.084125,42.345267,369870,2139143.8000000003,"[201000.0, 201000.0, 201000.0, 201000.0, 201000.0, 205608.0, 208735.28, 221130.84, 243221.32, 255448.36000000002]"

"1 Dalton St #2605, Boston, 2199",-71.084125,42.345267,369870,2139143.8000000003,"[201000.0, 201000.0, 201000.0, 201000.0, 201000.0, 205608.0, 208735.28, 221130.84, 243221.32, 255448.36000000002]"

