year,price,yearbuilt,style,policy1,policy2
2004,678000,2000,DUPLEX,33900,271200
2012,899000,1875,MID-RISE,44950,215760
2000,580000,2021,CONDO/APT,29000,278400
2014,807500,2004,HIGH-RISE,40375,161500
2018,556000,1900,CONVENTIONAL,27800,66720
2016,700000,1910,CONDO/APT,35000,112000
2013,3475000,2000,HIGH-RISE,173750,764500
2009,845000,2000,HIGH-RISE,42250,253500
2010,1085000,2000,HIGH-RISE,54250,303800
2013,1345000,2004,HIGH-RISE,67250,295900
2022,1895000,2004,HIGH-RISE,94750,75800
2020,1170000,2004,HIGH-RISE,58500,93600
2018,1935000,2004,HIGH-RISE,96750,232200
2014,4875000,2004,HIGH-RISE,243750,975000
2008,1342500,2004,HIGH-RISE,67125,429600
2012,1175000,2004,HIGH-RISE,58750,282000
2007,2750000,2004,HIGH-RISE,137500,935000
2018,1185000,2004,HIGH-RISE,59250,142200
2020,9250000,2015,HIGH-RISE,462500,740000
2020,13500000,2015,HIGH-RISE,675000,1080000
2019,6400000,2015,HIGH-RISE,320000,640000
2019,6400000,2015,HIGH-RISE,320000,640000
2019,6250000,2015,HIGH-RISE,312500,625000
2019,6500000,2009,HIGH-RISE,325000,650000
2020,7000000,2015,HIGH-RISE,350000,560000
2020,16905000,2015,HIGH-RISE,845250,1352400
2020,34000000,2015,HIGH-RISE,1700000,2720000
2018,444000,1925,CAPE COD,22200,53280
2016,555556,1910,CONDO/APT,27777.8,88888.96
2020,5000000,1890,ROW-END,250000,400000
2020,515000,1960,DUPLEX,25750,41200
2016,750000,1900,CONVENTIONAL,37500,120000
2014,680000,1925,CONDO/APT,34000,136000
2018,1110000,2016,FREE-STANDNG,55500,133200
2018,1110000,2016,FREE-STANDNG,55500,133200
2009,895000,1900,DECKER,44750,268500
2019,2100000,1905,CONDO/APT,105000,210000
2019,1410000,1899,CONDO/APT,70500,141000
2018,1500000,1910,CONVENTIONAL,75000,180000
2011,600000,1910,CONVENTIONAL,30000,156000
2020,3600000,1899,ROW-MIDDLE,180000,288000
2022,1500000,1890,ROW-MIDDLE,75000,60000
2022,1100000,1905,DECKER,55000,44000
2017,816000,1905,CONVENTIONAL,40800,114240
2007,2400000,1900,CONDO/APT,120000,816000
2002,3775000,1899,CONDO/APT,188750,1661000
2000,725000,1955,LOW-RISE,6250,60000
2000,239500,1963,RAISED RANCH,11975,114960
2006,518500,1899,RAISED CAPE,25925,186660
